iter	Passed	Remaining
0	2	269
1	5	252
2	7	250
3	9	232
4	11	224
5	14	219
6	16	218
7	18	217
8	21	215
9	23	213
10	26	215
11	28	212
12	31	207
13	33	203
14	35	203
15	38	199
16	40	195
17	43	199
18	46	196
19	48	192
20	50	189
21	52	187
22	55	184
23	57	180
24	59	179
25	62	176
26	63	173
27	65	169
28	68	167
29	71	167
30	73	164
31	77	164
32	79	162
33	81	158
34	84	157
35	86	154
36	89	152
37	91	149
38	95	149
39	97	146
40	99	143
41	102	141
42	104	138
43	106	135
44	108	132
45	110	129
46	112	126
47	114	123
48	115	120
49	117	117
50	118	114
51	120	111
52	122	108
53	124	105
54	125	102
55	127	99
56	128	97
57	130	94
58	131	91
59	132	88
60	134	86
61	136	83
62	137	80
63	139	78
64	141	76
65	142	73
66	143	70
67	145	68
68	147	66
69	148	63
70	149	61
71	151	58
72	152	56
73	154	54
74	156	52
75	159	50
76	161	48
77	163	46
78	165	43
79	166	41
80	168	39
81	170	37
82	172	35
83	174	33
84	175	31
85	177	28
86	179	26
87	181	24
88	184	22
89	185	20
90	186	18
91	187	16
92	189	14
93	190	12
94	191	10
95	193	8
96	195	6
97	196	4
98	198	2
99	200	0
