iter	Passed	Remaining
0	141	141138
1	146	72854
2	151	50414
3	159	39808
4	165	32879
5	172	28520
6	176	25092
7	185	23042
8	193	21252
9	199	19763
10	205	18450
11	217	17940
12	224	17050
13	232	16398
14	237	15608
15	245	15127
16	249	14405
17	251	13722
18	254	13118
19	256	12578
20	258	12070
21	261	11615
22	263	11179
23	264	10762
24	266	10378
25	267	10024
26	269	9708
27	271	9408
28	272	9122
29	273	8850
30	275	8596
31	276	8357
32	277	8136
33	278	7926
34	280	7727
35	281	7539
36	283	7380
37	285	7228
38	287	7072
39	288	6917
40	289	6771
41	290	6631
42	291	6498
43	293	6370
44	294	6250
45	295	6134
46	297	6026
47	298	5927
48	300	5823
49	301	5722
50	302	5626
51	304	5548
52	306	5468
53	307	5385
54	308	5304
55	309	5225
56	311	5151
57	313	5084
58	314	5013
59	315	4945
60	316	4878
61	318	4813
62	319	4750
63	320	4688
64	321	4628
65	323	4571
66	324	4515
67	325	4460
68	327	4417
69	329	4376
70	331	4332
71	333	4294
72	335	4255
73	336	4213
74	338	4172
75	339	4131
76	341	4097
77	343	4061
78	345	4026
79	348	4007
80	350	3975
81	357	3997
82	359	3966
83	360	3935
84	362	3901
85	364	3875
86	366	3842
87	367	3809
88	369	3782
89	372	3769
90	374	3740
91	375	3708
92	377	3678
93	379	3656
94	380	3626
95	382	3603
96	384	3581
97	385	3552
98	387	3524
99	388	3499
100	390	3471
101	391	3445
102	392	3420
103	394	3395
104	395	3370
105	398	3363
106	402	3358
107	403	3335
108	405	3310
109	406	3286
110	407	3263
111	408	3241
112	410	3219
113	411	3199
114	413	3181
115	415	3168
116	423	3195
117	427	3192
118	429	3183
119	433	3180
120	436	3169
121	439	3162
122	442	3156
123	444	3142
124	450	3150
125	455	3160
126	458	3153
127	460	3139
128	462	3124
129	465	3115
130	469	3116
131	476	3130
132	479	3124
133	481	3111
134	491	3150
135	496	3154
136	506	3193
137	516	3228
138	522	3239
139	525	3225
140	527	3211
141	531	3210
142	535	3206
143	536	3191
144	538	3174
145	539	3157
146	541	3144
147	544	3137
148	548	3130
149	549	3115
150	552	3106
151	554	3092
152	558	3091
